Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
Chart01,3,3,1,27919,8725,14,52279,58
Chart03,2,2,-1,40914,0,0,0,63
Chart06,1,1,-1,10097,0,0,0,2
Chart09,17,17,3,35152,4472,6,3009,73
Chart11,4,4,1,15488,2180,2,1325,30
Chart12,2,2,1,22496,1630,4,8367,13
Chart20,1,1,1,14144,3511,10,1415,24
Chart14A,2,2,1,84771,35318,1,53,14
Chart17,4,4,1,14540,2983,3,258,13
Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
Closure38,0,0,-1,12514,0,0,0,75
Closure52,0,0,-1,14064,0,0,0,86
Closure57,25,25,1,7965,301,6,7948,48
Closure62,3,3,1,6558,521,16,12291,32
Closure65,1,1,1,12164,2868,1,2698,81
Closure73,0,0,-1,12365,0,0,0,92
Closure104,0,0,-1,3657,0,0,0,0
Closure123,0,0,-1,17003,0,0,0,100
Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
Lang06,4,4,1,7852,1425,5,906,91
Lang09,0,0,-1,7775,0,0,0,69
Lang11,0,0,-1,1941,0,0,0,0
Lang21,1,1,1,4584,360,2,11566,22
Lang24,12,12,1,8363,746,2,344,142
Lang25,4,4,-1,2196,0,0,0,5
Lang33,8,8,1,3090,1175,11,215,13
Lang39,32,32,3,6801,1365,9,1556,93
Lang43,1,1,-1,3924,0,0,0,9
Lang47A,4,4,-1,2713,0,0,0,11
Lang54,2,2,-1,5195,0,0,0,55
Lang58,3,3,1,11350,3356,37,7627,135
Lang59,5,5,1,3967,838,10,271,23
Lang61,2,2,1,7353,977,15,5740,100
Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
Math02,24,24,1,38039,8946,24,512047,188
Math05,5,5,1,3920,619,5,116,27
Math11,2,2,1,48788,18715,2,77126,23
Math22A,1,1,1,3309,746,10,285,19
Math27,1,1,1,12426,1811,15,11665,108
Math30,2,2,2,18387,10613,21,372876,40
Math32,1,1,1,48583,42803,2,643,9
Math34,6,6,1,9983,3097,11,16556,23
Math35A,3,3,-1,5964,0,0,0,12
Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
Math39,0,0,-1,44959,0,0,0,409
Math41,14,14,1,11385,1001,11,15103,170
Math53,7,7,-1,3023,0,0,0,24
Math56,0,0,-1,1803,0,0,0,0
Math58,0,0,-1,3418,0,0,0,7
Math59,2,2,1,1820,246,1,29,3
Math69,2,2,1,17626,2846,5,58758,72
Math75,5,5,2,5594,2437,21,38450,29
Math82,9,9,3,32877,6658,1,56140,18
Math91,0,0,-1,14531,0,0,0,121
Math94,4,4,1,5417,499,1,234,32
Math96,5,5,1,6956,1071,9,850,54
Math104,0,0,-1,45282,0,0,0,390
Math105,47,47,1,11055,904,1,163,93
Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
Mockito26,0,0,-1,1850,0,0,0,3
Mockito38,5,5,1,2981,305,4,432,10
Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
Time04,33,33,2,52736,12391,38,110091,207
Time16,0,0,-1,3769,0,0,0,0
Time19,3,3,2,41755,23422,16,10777,46
Time24,12,12,-1,127056,0,0,0,293
Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
BitCount,6,6,1,621,53,1,18,10
BreadthFirstSearch,4,4,1,5008,934,5,689,20
BucketSort,2,2,1,3306,1057,9,20463,12
DepthFirstSearch,7,7,1,3368,644,2,194,15
DetectCycle,6,6,1,2179,175,4,134,26
FindFirstInSorted,11,11,5,3309,202,6,215,51
FindInSorted,9,9,1,2369,105,1,56,51
Flatten,5,5,2,2173,178,1,785,16
Gcd,3,3,1,1298,50,2,72,7
GetFactors,1,1,1,2405,802,11,25159,16
Hanoi,4,4,1,2896,204,8,5334,45
IsValidParenthesization,2,2,1,1423,61,1,64,9
KHeapSort,1,1,1,2067,84,1,1642,10
Knapsack,5,5,1,4540,583,9,42748,73
Kth,15,15,1,4563,193,2,3039,61
LcsLength,3,3,1,9344,246,2,17639,57
Levenshtein,1,1,1,17491,8592,11,482935,15
Lis,11,11,1,3305,330,10,10182,68
LongestCommonSubsequence,2,2,1,5348,221,4,6877,42
MaxSublistSum,2,2,1,1706,156,4,464,18
MergeSort,3,3,-1,2644,0,0,0,21
MinimumSpanningTree,8,8,1,3919,411,2,6793,42
NextPalindrome,1,1,1,1931,245,11,8602,21
NextPermutation,4,4,1,3705,475,12,11810,83
Pascal,16,16,1,4379,378,7,6942,76
PossibleChange,5,5,1,1692,251,3,2300,12
PowerSet,0,0,-1,1727,0,0,0,18
QuickSort,3,3,1,4016,272,6,38785,58
ReverseLinkedList,3,3,1,4132,2818,25,63507,28
RpnEval,4,4,1,2215,176,3,2567,17
ShortestPathLength,1,1,1,5373,900,7,25978,78
ShortestPathLengths,3,3,1,13304,3708,13,1549196,22
ShortestPaths,2,2,1,2756,708,9,75649,11
ShuntingYard,0,0,-1,2172,0,0,0,16
Sieve,3,3,3,1963,641,6,4770,6
Sqrt,8,8,5,2040,88,2,36,17
Subsequences,0,0,-1,2604,0,0,0,35
ToBase,1,1,1,2039,82,1,45,21
TopologicalOrdering,2,2,1,4437,992,4,11040,31
Wrap,3,3,1,2346,332,10,23090,23
